lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,intSum
3100,176,20170725,20170725176,24 ,28 ,9 ,29,27,117
3101,177,20170726,20170726177,27 ,20 ,37 ,29,11,124
3102,178,20170727,20170727178,20 ,34 ,14 ,38,3,109
3103,179,20170728,20170728179,25 ,16 ,35 ,38,37,151
3104,180,20170729,20170729180,5 ,36 ,33 ,18,30,122
3105,181,20170731,20170731181,37 ,8 ,17 ,35,13,110
3106,182,20170801,20170801182,21 ,13 ,17 ,11,16,78
3107,183,20170802,20170802183,18 ,21 ,17 ,15,13,84
3108,184,20170803,20170803184,32 ,38 ,35 ,30,27,162
3109,185,20170804,20170804185,20 ,38 ,8 ,14,33,113
3110,186,20170805,20170805186,5 ,18 ,26 ,10,28,87
3111,187,20170807,20170807187,38 ,10 ,12 ,3,13,76
3112,188,20170808,20170808188,36 ,4 ,29 ,8,17,94
3113,189,20170809,20170809189,29 ,32 ,9 ,30,12,112
3114,190,20170810,20170810190,36 ,26 ,12 ,14,23,111
3115,191,20170811,20170811191,20 ,3 ,10 ,2,30,65
3116,192,20170812,20170812192,2 ,30 ,28 ,23,20,103
3117,193,20170814,20170814193,26 ,25 ,18 ,14,32,115
3118,194,20170815,20170815194,39 ,13 ,17 ,4,33,106
3119,195,20170816,20170816195,2 ,4 ,36 ,18,7,67
3120,196,20170817,20170817196,37 ,1 ,8 ,15,20,81
3121,197,20170818,20170818197,28 ,29 ,16 ,6,8,87
3122,198,20170819,20170819198,34 ,9 ,29 ,23,13,108
3123,199,20170821,20170821199,8 ,15 ,12 ,35,36,106
3124,200,20170822,20170822200,24 ,7 ,31 ,34,35,131
3125,201,20170823,20170823201,38 ,31 ,30 ,26,32,157
3126,202,20170824,20170824202,29 ,27 ,32 ,19,31,138
3127,203,20170825,20170825203,36 ,11 ,27 ,33,16,123
3128,204,20170826,20170826204,9 ,25 ,12 ,35,6,87
3129,205,20170828,20170828205,7 ,11 ,32 ,14,34,98
3130,206,20170829,20170829206,21 ,38 ,22 ,3,30,114
3131,207,20170830,20170830207,17 ,21 ,12 ,30,38,118
3132,208,20170831,20170831208,1 ,12 ,8 ,39,38,98
3133,209,20170901,20170901209,5 ,23 ,24 ,19,15,86
3134,210,20170902,20170902210,19 ,10 ,18 ,4,37,88
3135,211,20170904,20170904211,29 ,34 ,21 ,27,5,116
3136,212,20170905,20170905212,36 ,5 ,6 ,38,7,92
3137,213,20170906,20170906213,8 ,33 ,28 ,5,35,109
3138,214,20170907,20170907214,30 ,13 ,27 ,31,12,113
3139,215,20170908,20170908215,36 ,33 ,15 ,10,5,99
3140,216,20170909,20170909216,24 ,19 ,25 ,31,5,104
3141,217,20170911,20170911217,1 ,26 ,28 ,37,3,95
3142,218,20170912,20170912218,,,,,,0
3143,219,20170913,20170913219,,,,,,0
3144,220,20170914,20170914220,,,,,,0
3145,221,20170915,20170915221,,,,,,0
3146,222,20170916,20170916222,,,,,,0
3147,223,20170918,20170918223,,,,,,0
3148,224,20170919,20170919224,,,,,,0
3149,225,20170920,20170920225,,,,,,0
3150,226,20170921,20170921226,,,,,,0
3151,227,20170922,20170922227,,,,,,0
3152,228,20170923,20170923228,,,,,,0
3153,229,20170925,20170925229,,,,,,0
3154,230,20170926,20170926230,,,,,,0
3155,231,20170927,20170927231,,,,,,0
3156,232,20170928,20170928232,,,,,,0
3157,233,20170929,20170929233,,,,,,0
3158,234,20170930,20170930234,,,,,,0
3159,235,20171002,20171002235,,,,,,0
3160,236,20171003,20171003236,,,,,,0
3161,237,20171004,20171004237,,,,,,0
3162,238,20171005,20171005238,,,,,,0
3163,239,20171006,20171006239,,,,,,0
3164,240,20171007,20171007240,,,,,,0
3165,241,20171009,20171009241,,,,,,0
3166,242,20171010,20171010242,,,,,,0
3167,243,20171011,20171011243,,,,,,0
3168,244,20171012,20171012244,,,,,,0
