lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngS1,intSum
1439,65,20170801,20170801065,30 ,47 ,2 ,21 ,42 ,12,31,185
1440,66,20170804,20170804066,16 ,45 ,15 ,26 ,27 ,39,37,205
1441,67,20170808,20170808067,6 ,27 ,9 ,46 ,34 ,23,20,165
1442,68,20170811,20170811068,18 ,37 ,9 ,8 ,27 ,2,33,134
1443,69,20170815,20170815069,27 ,28 ,33 ,13 ,42 ,16,11,170
1444,70,20170818,20170818070,10 ,7 ,12 ,38 ,47 ,35,23,172
1445,71,20170822,20170822071,10 ,13 ,36 ,4 ,45 ,44,5,157
1446,72,20170825,20170825072,31 ,1 ,4 ,24 ,19 ,28,49,156
1447,73,20170829,20170829073,31 ,25 ,49 ,18 ,5 ,48,44,220
1448,74,20170901,20170901074,11 ,14 ,36 ,16 ,40 ,5,46,168
1449,75,20170905,20170905075,33 ,27 ,23 ,13 ,17 ,41,2,156
1450,76,20170908,20170908076,13 ,19 ,29 ,15 ,42 ,8,25,151
1451,77,20170912,20170912077,,,,,,,,0
1452,78,20170915,20170915078,,,,,,,,0
1453,79,20170919,20170919079,,,,,,,,0
1454,80,20170922,20170922080,,,,,,,,0
1455,81,20170926,20170926081,,,,,,,,0
1456,82,20170929,20170929082,,,,,,,,0
1457,83,20171003,20171003083,,,,,,,,0
1458,84,20171006,20171006084,,,,,,,,0
1459,85,20171010,20171010085,,,,,,,,0
1460,86,20171013,20171013086,,,,,,,,0
1461,87,20171017,20171017087,,,,,,,,0
1462,88,20171020,20171020088,,,,,,,,0
1463,89,20171024,20171024089,,,,,,,,0
1464,90,20171027,20171027090,,,,,,,,0
