lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngL7,intSum
239,61,20170802,20170802061,4 ,11 ,30 ,21 ,14 ,23,22,125
240,62,20170805,20170805062,37 ,24 ,38 ,21 ,28 ,6,25,179
241,63,20170809,20170809063,28 ,39 ,7 ,29 ,19 ,38,15,175
242,64,20170812,20170812064,2 ,34 ,20 ,19 ,12 ,25,6,118
243,65,20170816,20170816065,20 ,29 ,27 ,35 ,13 ,38,37,199
244,66,20170819,20170819066,15 ,22 ,25 ,29 ,10 ,14,31,146
245,67,20170823,20170823067,31 ,33 ,10 ,18 ,17 ,30,38,177
246,68,20170826,20170826068,5 ,2 ,12 ,37 ,35 ,1,18,110
247,69,20170830,20170830069,20 ,31 ,4 ,38 ,34 ,9,10,146
248,70,20170902,20170902070,7 ,15 ,2 ,33 ,23 ,11,16,107
249,71,20170906,20170906071,22 ,3 ,29 ,28 ,30 ,21,10,143
250,72,20170909,20170909072,39 ,16 ,31 ,1 ,27 ,14,29,157
251,73,20170913,20170913073,,,,,,,,0
252,74,20170916,20170916074,,,,,,,,0
253,75,20170920,20170920075,,,,,,,,0
254,76,20170923,20170923076,,,,,,,,0
255,77,20170927,20170927077,,,,,,,,0
256,78,20170930,20170930078,,,,,,,,0
257,79,20171004,20171004079,,,,,,,,0
258,80,20171007,20171007080,,,,,,,,0
259,81,20171011,20171011081,,,,,,,,0
260,82,20171014,20171014082,,,,,,,,0
261,83,20171018,20171018083,,,,,,,,0
262,84,20171021,20171021084,,,,,,,,0
263,85,20171025,20171025085,,,,,,,,0
264,86,20171028,20171028086,,,,,,,,0
265,87,20171101,20171101087,,,,,,,,0
266,88,20171104,20171104088,,,,,,,,0
267,89,20171108,20171108089,,,,,,,,0
268,90,20171111,20171111090,,,,,,,,0
269,91,20171115,20171115091,,,,,,,,0
270,92,20171118,20171118092,,,,,,,,0
271,93,20171122,20171122093,,,,,,,,0
272,94,20171125,20171125094,,,,,,,,0
273,95,20171129,20171129095,,,,,,,,0
274,96,20171202,20171202096,,,,,,,,0
275,97,20171206,20171206097,,,,,,,,0
276,98,20171209,20171209098,,,,,,,,0
277,99,20171213,20171213099,,,,,,,,0
278,100,20171216,20171216100,,,,,,,,0
279,101,20171220,20171220101,,,,,,,,0
280,102,20171223,20171223102,,,,,,,,0
281,103,20171227,20171227103,,,,,,,,0
282,104,20171230,20171230104,,,,,,,,0
