lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngS1,intSum
4917,80,20170711,20170711080,43,22,45,1,20,11,35,177
4918,81,20170713,20170713081,29,4,41,27,25,5,18,149
4919,82,20170715,20170715082,29,43,48,35,42,34,26,257
4920,83,20170718,20170718083,14,6,32,40,46,33,10,181
4921,84,20170720,20170720084,12,25,9,34,5,26,21,132
4922,85,20170722,20170722085,36,4,6,27,47,49,3,172
4923,86,20170725,20170725086,8,33,15,47,37,9,1,150
4924,87,20170727,20170727087,42,37,3,44,31,4,40,201
4925,88,20170730,20170730088,37,30,15,11,43,25,17,178
4926,89,20170801,20170801089,37,25,26,36,32,10,46,212
4927,90,20170803,20170803090,24,18,6,35,40,22,36,181
4928,91,20170805,20170805091,35,14,48,32,39,25,31,224
4929,92,20170808,20170808092,10,25,8,37,28,33,7,148
4930,93,20170810,20170810093,22,18,25,33,32,42,29,201
4931,94,20170812,20170812094,4,3,15,45,38,25,28,158
4932,95,20170815,20170815095,4,20,7,3,19,23,27,103
4933,96,20170817,20170817096,44,5,21,29,24,43,42,208
4934,97,20170819,20170819097,34,2,32,43,45,23,22,201
4935,98,20170822,20170822098,4,33,23,40,43,24,15,182
4936,99,20170824,20170824099,4,47,21,10,7,28,17,134
4937,100,20170826,20170826100,34,36,35,16,46,40,31,238
4938,101,20170829,20170829101,12,34,24,26,48,44,4,192
4939,102,20170831,20170831102,17,37,33,12,25,18,29,171
4940,103,20170902,20170902103,5,27,1,24,11,23,15,106
4941,104,20170905,20170905104,30,8,1,2,43,39,19,142
4942,105,20170907,20170907105,46,27,41,10,19,29,17,189
4943,106,20170909,20170909106,4,23,39,29,18,7,49,169
4944,107,20170912,20170912107,,,,,,,,0
4945,108,20170914,20170914108,,,,,,,,0
4946,109,20170917,20170917109,,,,,,,,0
4947,110,20170919,20170919110,,,,,,,,0
4948,111,20170921,20170921111,,,,,,,,0
4949,112,20170923,20170923112,,,,,,,,0
4950,113,20170926,20170926113,,,,,,,,0
4951,114,20170928,20170928114,,,,,,,,0
4952,115,20170930,20170930115,,,,,,,,0
