lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngS1,intSum
980,47,20170612,20170612047,20,9,7,15,30,31,5,112
981,48,20170615,20170615048,13,23,8,28,35,34,2,141
982,49,20170619,20170619049,21,6,13,30,24,9,5,103
983,50,20170622,20170622050,20,3,12,6,18,35,2,94
984,51,20170626,20170626051,31,27,17,37,20,19,3,151
985,52,20170629,20170629052,36,7,4,19,25,20,8,111
986,53,20170703,20170703053,32,7,31,8,11,3,3,92
987,54,20170706,20170706054,12,21,30,34,8,35,5,140
988,55,20170710,20170710055,14,5,28,16,21,22,5,106
989,56,20170713,20170713056,33,30,16,18,19,13,3,129
990,57,20170717,20170717057,11,25,10,38,6,32,3,122
991,58,20170720,20170720058,22,13,15,35,10,9,3,104
992,59,20170724,20170724059,19,32,25,34,5,29,8,144
993,60,20170727,20170727060,15,11,34,17,26,29,1,132
994,61,20170731,20170731061,29,35,1,38,9,8,1,120
995,62,20170803,20170803062,18,25,37,17,1,21,1,119
996,63,20170807,20170807063,6,22,7,25,37,4,4,101
997,64,20170810,20170810064,30,5,32,22,1,12,8,102
998,65,20170814,20170814065,8,19,1,13,35,30,5,106
999,66,20170817,20170817066,11,9,13,12,24,30,4,99
1000,67,20170821,20170821067,17,31,20,1,26,3,2,98
1001,68,20170824,20170824068,30,22,15,12,17,4,3,100
1002,69,20170828,20170828069,15,4,17,10,28,16,1,90
1003,70,20170831,20170831070,18,5,2,14,8,9,4,56
1004,71,20170904,20170904071,10,14,15,18,8,29,2,94
1005,72,20170907,20170907072,12,22,7,14,3,2,4,60
1006,73,20170911,20170911073,3,34,32,26,21,1,2,117
1007,74,20170914,20170914074,,,,,,,,0
1008,75,20170918,20170918075,,,,,,,,0
1009,76,20170921,20170921076,,,,,,,,0
1010,77,20170925,20170925077,,,,,,,,0
1011,78,20170928,20170928078,,,,,,,,0
1012,79,20171002,20171002079,,,,,,,,0
1013,80,20171005,20171005080,,,,,,,,0
1014,81,20171009,20171009081,,,,,,,,0
1015,82,20171012,20171012082,,,,,,,,0
1016,83,20171016,20171016083,,,,,,,,0
1017,84,20171019,20171019084,,,,,,,,0
1018,85,20171023,20171023085,,,,,,,,0
1019,86,20171026,20171026086,,,,,,,,0
1020,87,20171030,20171030087,,,,,,,,0
1021,88,20171102,20171102088,,,,,,,,0
1022,89,20171106,20171106089,,,,,,,,0
1023,90,20171109,20171109090,,,,,,,,0
1024,91,20171113,20171113091,,,,,,,,0
1025,92,20171116,20171116092,,,,,,,,0
1026,93,20171120,20171120093,,,,,,,,0
1027,94,20171123,20171123094,,,,,,,,0
1028,95,20171127,20171127095,,,,,,,,0
1029,96,20171130,20171130096,,,,,,,,0
1030,97,20171204,20171204097,,,,,,,,0
1031,98,20171207,20171207098,,,,,,,,0
1032,99,20171211,20171211099,,,,,,,,0
1033,100,20171214,20171214100,,,,,,,,0
1034,101,20171218,20171218101,,,,,,,,0
1035,102,20171221,20171221102,,,,,,,,0
1036,103,20171225,20171225103,,,,,,,,0
1037,104,20171228,20171228104,,,,,,,,0
1038,105,20180101,20180101105,,,,,,,,0
1039,106,20180104,20180104106,,,,,,,,0
1040,107,20180108,20180108107,,,,,,,,0
1041,108,20180111,20180111108,,,,,,,,0
1042,109,20180115,20180115109,,,,,,,,0
1043,110,20180118,20180118110,,,,,,,,0
1044,111,20180122,20180122111,,,,,,,,0
1045,112,20180125,20180125112,,,,,,,,0
1046,113,20180129,20180129113,,,,,,,,0
1047,114,20180201,20180201114,,,,,,,,0
1048,115,20180205,20180205115,,,,,,,,0
1049,116,20180208,20180208116,,,,,,,,0
