lngDateSN,strYearT1,strYearT2,strMonthT1,strMonthT2,strDayT1,strDayT2,strHourT,strDayFive,strDayTwelve,strDayNine,strDayTwentyEight,strHourTwentyEight,strHourEight,strp1,strp2,strp3,strp4,strp5,strp6,strp7,strp8,strp9,strp10,strp11,strp12,strp13,strp14
20151004,乙,未,甲,申,癸,丑,壬戌,木,定,8白,房,參,坤,天同,天魁,武曲,太陽,天府,天機,紫微,巨門,天相,天梁,廉貞,鈴星,地劫,3.6
20151005,乙,未,甲,申,甲,寅,甲戌,水,執,7赤,心,心,艮,貪狼,天魁,巨門,廉貞,天梁,七殺,天同,武曲,太陽,破軍,天機,紫微,太陰,3.5
20151006,乙,未,甲,申,乙,卯,丙戌,水,破,6白,尾,胃,坎,天魁,陰煞,天府,天同,武曲,太陽,天相,天機,紫微,*,火星,鈴星,廉貞,3.6
20151007,乙,未,甲,申,丙,辰,戊戌,土,危,5黃,箕,角,巽,廉貞,天府,太陰,貪狼,天同,武曲,太陽,七殺,天機,紫微,火星,破軍,地劫,4.2
20151008,乙,未,甲,申,丁,巳,庚戌,土,成,4綠,斗,室,震,天機,天梁,紫微,文昌,天空,文曲,廉貞,羊刃,天府,天同,武曲,太陽,天相,4.5
20151009,乙,未,乙,酉,戊,午,壬戌,火,成,3碧,牛,星,離,天同,*,武曲,太陽,貪狼,天機,紫微,天梁,七殺,火星,廉貞,地劫,破軍,3.4
20151010,乙,未,乙,酉,己,未,甲戌,火,收,2黑,女,牛,兌,天相,*,天梁,廉貞,文曲,右弼,天同,武曲,太陽,天府,天機,紫微,巨門,3.5
20151011,乙,未,乙,酉,庚,申,丙戌,木,開,1白,虛,參,乾,太陰,八座,貪狼,天同,武曲,太陽,七殺,天機,紫微,火星,破軍,地劫,廉貞,4.3
20151012,乙,未,乙,酉,辛,酉,戊戌,木,閉,9紫,危,心,坤,廉貞,貪狼,巨門,天相,天同,武曲,太陽,天馬,天機,紫微,鈴星,天府,太陰,3.3
20151013,乙,未,乙,酉,壬,戌,庚戌,水,建,8白,室,胃,艮,太陰,恩光,貪狼,天同,武曲,太陽,七殺,天機,紫微,火星,破軍,天姚,廉貞,3.5
20151014,乙,未,乙,酉,癸,亥,壬戌,水,除,7赤,壁,角,坎,紫微,七殺,左輔,天空,右弼,廉貞,羊刃,天府,天同,武曲,太陽,天相,天機,4
20151015,乙,未,乙,酉,甲,子,甲戌,金,滿,3碧,奎,室,巽,天同,*,武曲,太陽,貪狼,天機,紫微,天梁,七殺,火星,廉貞,天姚,破軍,3.8
