lngDateSN,strYearT1,strYearT2,strMonthT1,strMonthT2,strDayT1,strDayT2,strHourT,strDayFive,strDayTwelve,strDayNine,strDayTwentyEight,strHourTwentyEight,strDayEight
20170120,丙,申,辛,丑,丁,未,庚戌,水,破,8白,亢,星,艮
20170121,丙,申,辛,丑,戊,申,壬戌,土,危,9紫,氐,牛,坤
20170122,丙,申,辛,丑,己,酉,甲戌,土,成,1白,房,參,乾
20170123,丙,申,辛,丑,庚,戌,丙戌,金,收,2黑,心,心,兌
20170124,丙,申,辛,丑,辛,亥,戊戌,金,開,3碧,尾,胃,離
20170125,丙,申,辛,丑,壬,子,庚戌,木,閉,4綠,箕,角,震
20170126,丙,申,辛,丑,癸,丑,壬戌,木,建,5黃,斗,室,巽
20170127,丙,申,辛,丑,甲,寅,甲戌,水,除,6白,牛,星,坎
20170128,丙,申,辛,丑,乙,卯,丙戌,水,滿,7赤,女,牛,艮
20170129,丙,申,辛,丑,丙,辰,戊戌,土,平,8白,虛,參,坤
20170130,丙,申,辛,丑,丁,巳,庚戌,土,定,9紫,危,心,乾
20170131,丙,申,辛,丑,戊,午,壬戌,火,執,1白,室,胃,兌
20170201,丙,申,辛,丑,己,未,甲戌,火,破,2黑,壁,角,離
20170202,丙,申,辛,丑,庚,申,丙戌,木,危,3碧,奎,室,震
20170203,丙,申,辛,丑,辛,酉,戊戌,木,成,4綠,婁,星,巽
20170204,丁,酉,壬,寅,壬,戌,庚戌,水,成,5黃,胃,牛,坎
20170205,丁,酉,壬,寅,癸,亥,壬戌,水,收,6白,昂,參,艮
20170206,丁,酉,壬,寅,甲,子,甲戌,金,開,1白,畢,心,坤
20170207,丁,酉,壬,寅,乙,丑,丙戌,金,閉,2黑,觜,胃,乾
20170208,丁,酉,壬,寅,丙,寅,戊戌,火,建,3碧,參,角,兌
20170209,丁,酉,壬,寅,丁,卯,庚戌,火,除,4綠,井,室,離
20170210,丁,酉,壬,寅,戊,辰,壬戌,木,滿,5黃,鬼,星,震
