lngDateSN,strp1,strp2,strp3,strp4,strp5,strp6,strp7,strp8,strp9,strp10,strp11,strp12,strp13,strp14
20020101,七殺,文曲,天同,武曲,太陽,破軍,天機,紫微,太陰,貪狼,巨門,廉貞,天梁,4.1
20020102,太陽,巨門,天相,天機,紫微,解神,天刑,三台,廉貞,羊刃,天府,天同,武曲,2.8
20020103,武曲,天相,太陽,七殺,天機,紫微,天刑,破軍,地劫,廉貞,太陰,貪狼,天同,3.8
20020104,貪狼,文曲,天機,紫微,天梁,七殺,天刑,廉貞,地劫,破軍,天同,武曲,太陽,3.3
20020105,天魁,八座,天同,武曲,太陽,天府,天機,紫微,巨門,天相,天梁,廉貞,左輔,3.2
20020106,太陽,天梁,七殺,天機,紫微,天刑,破軍,地劫,廉貞,太陰,貪狼,天同,武曲,3.1
20020107,武曲,七殺,太陽,天鉞,天機,紫微,*,天府,太陰,廉貞,巨門,天相,天同,3.2
20020108,天相,天魁,天機,紫微,解神,天刑,*,廉貞,羊刃,天府,天同,武曲,太陽,3.8
20020109,天魁,三台,破軍,天同,武曲,太陽,貪狼,天機,紫微,天梁,七殺,鈴星,廉貞,4.1
20020110,武曲,七殺,太陽,天鉞,天機,紫微,*,天府,太陰,廉貞,巨門,天相,天同,3
20020111,天同,天魁,武曲,太陽,破軍,天機,紫微,太陰,貪狼,巨門,廉貞,天梁,七殺,3.1
20020112,太陽,天梁,七殺,天機,紫微,天刑,破軍,地劫,廉貞,太陰,貪狼,天同,武曲,3.9
20020113,廉貞,破軍,台輔,天府,天同,武曲,太陽,天相,天機,紫微,文昌,鈴星,文曲,2.4
20020114,天機,巨門,紫微,天梁,七殺,*,廉貞,地劫,破軍,天同,武曲,太陽,貪狼,2.9
20020115,天府,天魁,太陰,廉貞,巨門,天相,天同,武曲,太陽,右弼,天機,紫微,文曲,2.7
20020116,太陰,天魁,貪狼,巨門,廉貞,天梁,七殺,天同,武曲,太陽,破軍,天機,紫微,3.4
20020117,左輔,天魁,廉貞,太陰,貪狼,天同,武曲,太陽,七殺,天機,紫微,鈴星,破軍,3.5
20020118,天相,天魁,天機,紫微,解神,*,天刑,廉貞,羊刃,天府,天同,武曲,太陽,3.4
20020119,太陰,天魁,貪狼,巨門,廉貞,天梁,七殺,天同,武曲,太陽,破軍,天機,紫微,2.7
20020120,紫微,貪狼,巨門,天相,天梁,廉貞,天刑,地劫,天同,武曲,太陽,天府,天機,3.5
20020121,天府,天魁,太陰,廉貞,巨門,天相,天同,武曲,太陽,右弼,天機,紫微,文曲,2.7
20020122,太陽,天梁,七殺,天機,紫微,*,破軍,地劫,廉貞,太陰,貪狼,天同,武曲,3.5
20020123,紫微,貪狼,巨門,天相,天梁,廉貞,天刑,地劫,天同,武曲,太陽,天府,天機,2.8
20020124,天機,巨門,紫微,天梁,七殺,*,廉貞,地劫,破軍,天同,武曲,太陽,貪狼,3.6
20020125,太陰,天魁,貪狼,巨門,廉貞,天梁,七殺,天同,武曲,太陽,破軍,天機,紫微,2.7
20020126,武曲,七殺,太陽,天鉞,天機,紫微,天刑,天府,太陰,廉貞,巨門,天相,天同,3.6
20020127,天機,巨門,紫微,天梁,七殺,*,廉貞,地劫,破軍,天同,武曲,太陽,貪狼,2.9
20020128,天相,天魁,天機,紫微,解神,*,天刑,廉貞,羊刃,天府,天同,武曲,太陽,2.7
20020129,紫微,貪狼,巨門,天相,天梁,廉貞,天刑,地劫,天同,武曲,太陽,天府,天機,2.8
20020130,天同,天魁,武曲,太陽,破軍,天機,紫微,太陰,貪狼,巨門,廉貞,天梁,七殺,3.7
20020131,天相,天魁,天機,紫微,解神,天貴,天刑,廉貞,羊刃,天府,天同,武曲,太陽,2.4
20020201,太陽,天梁,七殺,天機,紫微,*,破軍,地劫,廉貞,太陰,貪狼,天同,武曲,3.4
20020202,天機,巨門,紫微,天梁,七殺,恩光,廉貞,地劫,破軍,天同,武曲,太陽,貪狼,2.9
20020203,左輔,天魁,天同,武曲,太陽,天府,天機,紫微,巨門,天相,天梁,廉貞,文曲,2.8
20020204,紫微,天相,天梁,七殺,*,廉貞,地劫,破軍,天同,武曲,太陽,貪狼,天機,2.7
20020205,天機,天梁,紫微,解神,*,天刑,廉貞,羊刃,天府,天同,武曲,太陽,天相,2.8
20020206,太陰,台輔,廉貞,巨門,天相,天同,武曲,太陽,右弼,天機,紫微,文曲,天府,3.4
20020207,破軍,台輔,天同,武曲,太陽,貪狼,天機,紫微,天梁,七殺,鈴星,廉貞,左輔,3.7
20020208,巨門,台輔,天相,天梁,廉貞,天刑,地劫,天同,武曲,太陽,天府,天機,紫微,2.6
20020209,武曲,台輔,太陽,破軍,天機,紫微,太陰,貪狼,巨門,廉貞,天梁,七殺,天同,2.7
20020210,天機,天梁,紫微,解神,三台,天刑,廉貞,羊刃,天府,天同,武曲,太陽,天相,3.5
20020211,七殺,台輔,天機,紫微,*,破軍,地劫,廉貞,太陰,貪狼,天同,武曲,太陽,2.5
20020212,天同,台輔,武曲,太陽,天府,天機,紫微,巨門,天相,天梁,廉貞,文曲,天魁,2.5
20020213,七殺,台輔,天機,紫微,*,破軍,天刑,廉貞,太陰,貪狼,天同,武曲,太陽,3
20020214,左輔,台輔,天府,天同,武曲,太陽,天相,天機,紫微,文昌,鈴星,文曲,廉貞,2.8
20020215,紫微,天相,天梁,七殺,三台,廉貞,天刑,破軍,天同,武曲,太陽,貪狼,天機,3.5
20020216,太陰,台輔,廉貞,巨門,天相,天同,武曲,太陽,火星,天機,紫微,文曲,天府,3.6
20020217,貪狼,台輔,巨門,廉貞,天梁,七殺,天同,武曲,太陽,破軍,天機,紫微,太陰,3.5
20020218,破軍,台輔,天同,武曲,太陽,貪狼,天機,紫微,天梁,七殺,鈴星,廉貞,天魁,2.8
20020219,太陽,台輔,天鉞,天機,紫微,天馬,天府,太陰,廉貞,巨門,天相,天同,武曲,3.6
20020220,廉貞,天府,太陰,貪狼,天同,武曲,太陽,七殺,天機,紫微,鈴星,破軍,天魁,2.8
20020221,天機,天梁,紫微,天福,*,天馬,廉貞,右弼,天府,天同,武曲,太陽,天相,3.6
20020222,貪狼,台輔,巨門,廉貞,天梁,七殺,天同,武曲,太陽,破軍,天機,紫微,太陰,2.9
20020223,巨門,台輔,天相,天梁,廉貞,天馬,天刑,天同,武曲,太陽,天府,天機,紫微,3.7
20020224,左輔,台輔,天府,天同,武曲,太陽,天相,天機,紫微,文昌,鈴星,文曲,廉貞,2.8
20020225,武曲,台輔,太陽,破軍,天機,紫微,太陰,貪狼,巨門,廉貞,天梁,七殺,天同,3.7
20020226,太陰,台輔,廉貞,巨門,天相,天同,武曲,太陽,火星,天機,紫微,文曲,天府,3
20020227,七殺,台輔,天機,紫微,三台,破軍,天刑,廉貞,太陰,貪狼,天同,武曲,太陽,2.8
20020228,巨門,台輔,天相,天梁,廉貞,天馬,天刑,天同,武曲,太陽,天府,天機,紫微,2.9
20020301,紫微,天相,天梁,七殺,*,廉貞,天刑,破軍,天同,武曲,太陽,貪狼,天機,3.8
20020302,廉貞,天府,太陰,貪狼,天同,武曲,太陽,七殺,天機,紫微,鈴星,破軍,天魁,2.5
20020303,天同,台輔,武曲,太陽,天府,天機,紫微,巨門,天相,天梁,廉貞,文曲,天魁,3.5
20020304,貪狼,台輔,巨門,廉貞,天梁,七殺,天同,武曲,太陽,破軍,天機,紫微,太陰,3
20020305,太陽,台輔,天鉞,天機,紫微,天馬,天府,太陰,廉貞,巨門,天相,天同,武曲,2.9
20020306,天梁,天鉞,七殺,*,廉貞,天刑,破軍,天同,武曲,太陽,貪狼,天機,紫微,2.8
20020307,紫微,七殺,天福,*,天馬,廉貞,右弼,天府,天同,武曲,太陽,天相,天機,2.9
20020308,廉貞,貪狼,巨門,天相,天同,武曲,太陽,火星,天機,紫微,文曲,天府,太陰,3.5
