lngDateSN,lngCDateSN
20020101,901118
20020102,901119
20020103,901120
20020104,901121
20020105,901122
20020106,901123
20020107,901124
20020108,901125
20020109,901126
20020110,901127
20020111,901128
20020112,901129
20020113,901201
20020114,901202
20020115,901203
20020116,901204
20020117,901205
20020118,901206
20020119,901207
20020120,901208
20020121,901209
20020122,901210
20020123,901211
20020124,901212
20020125,901213
20020126,901214
20020127,901215
20020128,901216
20020129,901217
20020130,901218
20020131,901219
20020201,901220
20020202,901221
20020203,901222
20020204,901223
20020205,901224
20020206,901225
20020207,901226
20020208,901227
20020209,901228
20020210,901229
20020211,901230
20020212,910101
20020213,910102
20020214,910103
20020215,910104
20020216,910105
20020217,910106
20020218,910107
20020219,910108
20020220,910109
20020221,910110
20020222,910111
20020223,910112
20020224,910113
20020225,910114
20020226,910115
20020227,910116
20020228,910117
20020301,910118
20020302,910119
20020303,910120
20020304,910121
20020305,910122
20020306,910123
20020307,910124
20020308,910125
20020309,910126
20020310,910127
20020311,910128
20020312,910129
20020313,910130
20020314,910201
20020315,910202
20020316,910203
20020317,910204
20020318,910205
20020319,910206
20020320,910207
20020321,910208
20020322,910209
20020323,910210
20020324,910211
20020325,910212
20020326,910213
20020327,910214
20020328,910215
20020329,910216
20020330,910217
20020331,910218
20020401,910219
20020402,910220
20020403,910221
20020404,910222
20020405,910223
20020406,910224
20020407,910225
20020408,910226
20020409,910227
20020410,910228
20020411,910229
20020412,910230
20020413,910301
20020414,910302
20020415,910303
20020416,910304
20020417,910305
20020418,910306
20020419,910307
20020420,910308
20020421,910309
20020422,910310
20020423,910311
20020424,910312
20020425,910313
20020426,910314
20020427,910315
20020428,910316
20020429,910317
20020430,910318
20020501,910319
20020502,910320
20020503,910321
20020504,910322
20020505,910323
20020506,910324
20020507,910325
20020508,910326
20020509,910327
20020510,910328
20020511,910329
20020512,910401
20020513,910402
20020514,910403
20020515,910404
20020516,910405
20020517,910406
20020518,910407
20020519,910408
20020520,910409
20020521,910410
20020522,910411
20020523,910412
20020524,910413
20020525,910414
20020526,910415
20020527,910416
20020528,910417
20020529,910418
20020530,910419
20020531,910420
20020601,910421
20020602,910422
20020603,910423
20020604,910424
20020605,910425
20020606,910426
20020607,910427
20020608,910428
20020609,910429
20020610,910430
20020611,910501
20020612,910502
20020613,910503
20020614,910504
20020615,910505
20020616,910506
20020617,910507
20020618,910508
20020619,910509
20020620,910510
20020621,910511
20020622,910512
20020623,910513
20020624,910514
20020625,910515
20020626,910516
20020627,910517
20020628,910518
20020629,910519
20020630,910520
20020701,910521
20020702,910522
20020703,910523
20020704,910524
20020705,910525
20020706,910526
20020707,910527
20020708,910528
20020709,910529
20020710,910601
20020711,910602
20020712,910603
20020713,910604
20020714,910605
20020715,910606
20020716,910607
20020717,910608
20020718,910609
20020719,910610
20020720,910611
20020721,910612
20020722,910613
20020723,910614
20020724,910615
20020725,910616
20020726,910617
20020727,910618
20020728,910619
20020729,910620
20020730,910621
20020731,910622
20020801,910623
20020802,910624
20020803,910625
20020804,910626
20020805,910627
20020806,910628
20020807,910629
20020808,910630
20020809,910701
20020810,910702
20020811,910703
20020812,910704
20020813,910705
20020814,910706
20020815,910707
20020816,910708
20020817,910709
20020818,910710
20020819,910711
